,SMILES_nocond,Index
0,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C580>
1,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114BA0>
2,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114C80>
3,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114B30>
4,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611CEB0>
5,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E4A0>
6,CN(C)c1cccc2c(S(=O)(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B7B0>
7,N=c1nc(O)c2c(CCc3ccc(C(=O)O)cc3)c[nH]c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119190>
8,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E3C0>
9,N=c1ccn([C@H]2CC[C@@H](COP(=O)=O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119CF0>
10,Cc1ncc(COP(=O)(O)O)c(CN[C@H]2C[C@@H](C)[C@H](O)[C@@H](C)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119350>
11,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD60FBD60>
12,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C120>
13,CC1(C)S[C@H]2[C@@H](OC(=O)[C@H]2N=C(O)Cc2ccccc2)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C820>
14,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=N2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E580>
15,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114C10>
16,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)O2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119890>
17,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD60FBB30>
18,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)O2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119A50>
19,N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61194A0>
20,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114A50>
21,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119970>
22,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=CC1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114890>
23,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2C=O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114270>
24,O=[N+]([O-])c1cc(O)c(O)c(C(O)=NC/C=C/[C@H]2OC[C@H](O)[C@@H]2O)c1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119200>
25,O=[N+]([O-])c1cc(O)c(O)c(C(O)=NC/C=C/[C@H]2OC[C@H](F)[C@@H]2O)c1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61197B0>
26,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)N2C=O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C4A0>
27,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2C[C@H](C)[C@@H](O)[C@H]2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B0B0>
28,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CCCC[C@H]2C(=O)O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD60FBE40>
29,Cc1ncc(COP(=O)(O)O)c(CNC2(C(=O)O)CC2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B270>
30,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CO[C@H]2OCC[C@H]21)S(C)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B2E0>
31,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B350>
32,CCOC(=O)c1c(C)nn(-c2ccc(N)cc2)c1C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E660>
33,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O)C(=O)c1ccc2nc(O)[nH]c2c1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B430>
34,Cc1ncc(COP(=O)(O)O)c(CNC2=C[C@H](C)[C@@H](O)CC2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B510>
35,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2C[C@H](C)[C@@H](O)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B5F0>
36,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2C[C@H](C)CN2C(=O)O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B6D0>
37,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E040>
38,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114F90>
39,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD60FBF90>
40,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C270>
41,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C7B0>
42,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119C10>
43,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccncc1)B(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BC10>
44,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(O)=NO)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611B970>
45,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)c1cccc(O)c1O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BDD0>
46,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CCC1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611CC10>
47,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BF20>
48,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C5F0>
49,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114120>
50,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611CF90>
51,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD60FBDD0>
52,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C9E0>
53,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCC(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61190B0>
54,CC(C)C[C@H](N=C(O)OCc1ccccc1)C(O)=N[C@@H](Cc1ccccc1)P(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119C80>
55,CCN(CC)c1ccc2c(=O)c3ccc(N(CC)CC)cc3oc2c1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BE40>
56,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@@H](N)Cc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6119F20>
57,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD6114350>
58,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1c(O)nc(O)nc1N2C,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61144A0>
59,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1c(O)nc(O)nc1N2,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61147B0>
60,Cc1cc2c(cc1C)N(CC(=O)O)c1c(O)nc(O)nc1N2C[C@H](O)CO,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61143C0>
61,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)c1cccc(O)c1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E120>
62,CN(C)c1cccc2c(S(=O)(=O)O)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611E820>
63,CC1(C)S[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611C970>
64,CC1(C)S[C@H]([C@@H](C=O)N=C(O)c2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BAC0>
65,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCC(O)=NO)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD61196D0>
66,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCC(=O)O)ccnc12,<rdkit.Chem.rdchem.Mol object at 0x0000027DD611BA50>
