,SMILES_nocond,Index
0,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E29EB0>
1,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E30270>
2,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1D2E0>
3,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E303C0>
4,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E30820>
5,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1D430>
6,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1D350>
7,N=c1ccn([C@H]2CC[C@@H](COP(=O)=O)O2)c(O)n1,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1D510>
8,CN(C)c1cccc2c(S(=O)(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E309E0>
9,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CO[C@H](c3ccccc3)C2)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1D890>
10,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E294A0>
11,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1c(O)nc(O)nc1N2,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E2B3C0>
