,SMILES_cond,Index
0,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A712E0>
1,N[C@@H](CCC(O)=N[C@@H](CS[C@H]1c2ccccc2-c2ccccc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CCF0>
2,N[C@@H](CCC(O)=N[C@@H](CS[C@H]1c2ccccc2-c2ccccc2[C@@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71890>
3,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3cccc(C(=O)O)c3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71270>
4,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CB30>
5,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3ccccc3C(=O)O)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C740>
6,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2ccccc2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A714A0>
7,CC1(C)S[C@@H]2[C@H](N=C(O)CCCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71D60>
8,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8EA50>
9,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E270>
10,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=N)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8EAC0>
11,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71AC0>
12,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=CC1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E970>
13,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71A50>
14,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CA50>
15,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(=O)N(C)C)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C270>
16,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)C(C)(C)C)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86AC0>
17,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(=O)N(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D13E1DF90>
18,CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E900>
19,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71F20>
20,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](CNS(N)(=O)=O)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E9E0>
21,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8EB30>
22,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOCN=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86C10>
23,CC1(C)S[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E040>
24,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccc(C(=O)O)cc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71580>
25,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71B30>
26,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86B30>
27,C=C1CS[C@H]([C@@H](C=O)N=C(O)/C(=N\OC)c2csc(=N)[nH]2)N=C1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E6D0>
28,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86A50>
29,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOC2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C190>
30,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@H]2CCOC2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C040>
31,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2C[C@@H](O)CN2C(=O)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C5F0>
32,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CNC[C@H](C(=N)O)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C660>
33,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CEB0>
34,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E430>
35,CC(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CF20>
36,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](C(O)=Nc2ccccc2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71EB0>
37,CC1(C)S[C@@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E7B0>
38,COCCCOc1ccccc1N1CCN(C[C@H](N)[C@@H](O)C[C@H](C(O)=NCC(C)(C)C(=N)O)C(C)C)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71510>
39,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C820>
40,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1C(=O)O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86CF0>
41,CCC1C(C(=O)Nc2cccc(S(=O)(=O)N(CC)CC)c2)=NC(C)=C1C(C)=O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E120>
42,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(C)cc2)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71BA0>
43,C[C@@H]1C(S[C@@H]2CN[C@H](C(O)=Nc3cccc(C(=O)O)c3)C2)=C(C(=O)O)N[C@H]1[C@H](C=O)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71CF0>
44,CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)C[C@H](N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E890>
45,C[C@@H]1[C@H]([C@H](C(=O)O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2cccc(C(=O)O)c2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C6D0>
46,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E820>
47,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2C[C@@H](CO)N=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86D60>
48,CC1(C)S[C@@H]2[C@H](N=C(O)CCC(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E580>
49,CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71C80>
50,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CE40>
51,C=C1CS[C@H]([C@@H](C=O)N=C(O)Cc2ccccc2)N=C1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C580>
52,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCN=C2O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82EB0>
53,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(C)(=O)=O)C(C)C)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71900>
54,O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC(C(=O)O)=C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A716D0>
55,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1O)C(O)=NCC(=O)O)C(=O)NCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A717B0>
56,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=NCc3ccccc3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CAC0>
57,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CNC[C@H](C(=O)O)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CC10>
58,CC1(C)S[C@@H]2[C@H](N=C(O)CCCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A719E0>
59,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H](N=C(C)O)[C@@H](C)O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71DD0>
60,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C430>
61,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(C)cc2)C(C)C)ccc1OC(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71E40>
62,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1OS(=O)(=O)O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C9E0>
63,N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccc([N+](=O)[O-])cc2[C@H]1O)C(O)=NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C7B0>
64,CC(C)(COP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E740>
65,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3ccccc3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71C10>
66,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(C(N)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C900>
67,C[C@@H]1[C@H]([C@H](C(=O)O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=Nc2ccccc2C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C970>
68,C[C@@H]1[C@H]([C@H](C(=O)O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(=O)N(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86C80>
69,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H](N=C(C)O)C(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86F20>
70,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](CNS(=O)(=O)c3ccccc3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A713C0>
71,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)C2CN(C(=O)OC(C)(C)C)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CBA0>
72,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CN(C(=O)OC(C)C)CCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71350>
73,C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@H]1S[C@@H]1CN[C@H](C(O)=NCc2ccccc2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CDD0>
74,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O[C@@H]2CCOC2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A82F90>
75,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)C(C)(C)C)S(=O)(=O)c2ccccc2)ccc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A715F0>
76,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2C[C@@H](O)CN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C350>
77,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H](N=C(C)O)C2CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A869E0>
78,CC(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86F90>
79,C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](CNS(=O)(=O)Cc3ccccc3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CD60>
80,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CCCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A86BA0>
81,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CCCN2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CF90>
82,CN(C)[C@@H]1C(O)=C(C(=N)O)C(=O)[C@@]2(O)C(O)C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E3C0>
83,C[C@@H](O)[C@@H](C(=O)O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3cccc(C(=O)O)c3)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71200>
84,C[C@@H](O)[C@@H](C(=O)O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(O)=Nc3ccccc3C(=O)O)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E5F0>
85,C[C@@H](O)[C@@H](C(=O)O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(=O)N(C)C)C2)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8CC80>
86,N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=C(C(=O)O)C1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71740>
87,N=C(N)c1ccc(CN=C(O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8E0B0>
88,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)[C@@H]2CNCCN2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A71970>
89,CCC(CC)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N=C(C)O)[C@@H](C)O)S(=O)(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A8C120>
