,SMILES_cond,Index
0,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(O)=NCC(C)(C)C(=N)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EBA0>
1,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A23200>
2,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)[C@H](CC1CCCCC1)NS(=O)(=O)N[C@@H](CCCCN)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E890>
3,CC1(C)S[C@@H]2[C@H](N=C(O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A233C0>
4,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A23510>
5,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)[C@H](CC1CCCCC1)NC(O)=N[C@@H](CCCCN)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EDD0>
6,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)[C@H](CC1CCCCC1)NC(O)=N[C@@H](CCCCNC(=N)N)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E3C0>
7,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(O)=NCC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E7B0>
8,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](N=C(O)[C@H](CC1CCCCC1)NS(=O)(=O)N[C@@H](CCCCN)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E580>
9,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)[C@H](CC1CCCCC1)NS(=O)(=O)N[C@@H](CCCCCN)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A77C80>
10,N=C1N=C(O)C2=NC(=O)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=N1,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A23660>
11,CC1(C)S[C@H]([C@@H](C=O)N=C(O)[C@H](N)C2CCCCC2)N[C@H]1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A236D0>
12,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N=C(O)[C@@H](NS(=O)(=O)N[C@@H](CCCCN)C(=O)O)C1CCCCC1)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7E510>
13,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](N=C(O)[C@H](CC1CCCCC1)NS(=O)(=O)N[C@@H](CCCCCN)C(=O)O)C2,<rdkit.Chem.rdchem.Mol object at 0x0000015D14A7EA50>
