qed,mw,logp,hbd,hba,sa,lipinski_viol,lipinski_pass,smiles
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
0.3597849378839701,16.043,0.6361,0,0,7.3284153846153846,0,1,C
