qed,mw,logp,hbd,hba,sa,lipinski_viol,lipinski_pass,smiles
0.4968211381160781,334.39700000000005,1.7011,2,4,3.7616931675598035,0,1,CC1(C)S[C@@H]2[C@H](N=C(O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
0.44978379119051176,345.341,0.55511,4,5,3.7814818187252186,0,1,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(=N)[nH]1
0.33589761692395464,365.41100000000006,2.0153,2,6,2.942417183350182,0,1,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C)C(O)=NO)cc1
0.5659631017710787,291.2,-0.14493000000000028,4,7,4.258630740000264,0,1,N=c1ccn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(O)n1
0.45468220497329526,333.2370000000001,0.06481999999999993,5,7,3.99776104349073,0,1,Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O
0.33589761692395464,365.41100000000006,2.0153,2,6,2.942417183350182,0,1,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(O)=NO)cc1
0.8308451201348496,251.30699999999996,2.1525,1,3,1.9701886554191521,0,1,CN(C)c1cccc2c(S(=O)(=O)O)cccc12
0.5007245009758085,298.30199999999996,1.55947,5,4,2.885726334854251,0,1,N=c1nc(O)c2c(CCc3ccc(C(=O)O)cc3)c[nH]c2[nH]1
0.5007073028756932,315.33299999999997,1.1317699999999997,6,6,3.612104619041121,1,0,N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)O)cc1)N2
0.7857271031431555,273.18499999999995,0.8502699999999999,2,8,4.6476470094499085,0,1,N=c1ccn([C@H]2CC[C@@H](COP(=O)=O)O2)c(O)n1
0.47438018341738075,374.37400000000014,1.5900199999999998,5,6,4.131796844935814,0,1,Cc1ncc(COP(=O)(O)O)c(CN[C@H]2C[C@@H](C)[C@H](O)[C@@H](C)C2)c1O
0.7015079236860727,265.36199999999997,0.4381099999999997,3,4,3.697234195222684,0,1,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1
0.4856065982165491,278.31199999999995,-1.0098299999999998,5,6,4.755190069098285,0,1,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=C2
0.5034857925385896,321.39799999999997,1.7345000000000002,2,5,4.359728987402329,0,1,CC1(C)S[C@H]2[C@@H](OC(=O)[C@H]2N=C(O)Cc2ccccc2)[C@H]1O
0.49806548770399395,315.333,0.9892699999999992,6,6,3.5178165717038423,1,0,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)C2
0.46846461131419304,279.29999999999995,-1.3207299999999997,5,7,4.8327433658015835,0,1,N=c1nc(O)c2c([nH]1)C(CN1C[C@H](CO)[C@@H](O)C1)C=N2
0.4837372576020995,317.305,0.5779699999999994,6,7,3.605292311348814,1,0,N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)O)cc1)O2
